(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_give_result[0]  	  cmp_give_result[1]  	  cmp_give_result[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	cmp_real_result[0]  	  cmp_real_result[1]  	  cmp_real_result[2]
Ni_8_3-1_1_8	3	8	84.9939	84.9939	1460488956	20	84.9939	84.9939	84.9939	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_9	3	8	67.887	67.887	1460488956	20	67.887	67.887	67.887	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_10	3	8	80.4813	80.4813	1460488957	20	80.4813	80.4813	80.4813	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_11	3	8	83.4401	83.4401	1460488957	20	83.4401	83.4401	83.4401	0	4	17	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_12	3	8	73.2648	73.2648	1460488957	20	73.2648	73.2648	73.2648	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_13	3	8	94.1151	94.1151	1460488957	20	94.1151	94.1151	94.1151	1	4	14	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_14	3	8	100.002	100.002	1460488958	20	100.002	100.002	100.002	0	0	2	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_15	3	8	74.7465	74.7465	1460488958	20	74.7465	74.7465	74.7465	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_16	3	8	83.0927	83.0927	1460488958	20	83.0927	83.0927	83.0927	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_17	3	8	57.5543	57.5543	1460488959	20	57.5543	57.5543	57.5543	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_18	3	8	111.909	111.909	1460488959	20	111.909	111.909	111.909	0	1	7	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_19	3	8	109.46	109.46	1460488959	20	109.46	109.46	109.46	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_20	3	8	98.3314	98.3314	1460488960	20	98.3314	98.3314	98.3314	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
